"paper_id","rel_path","type_gt","group_gt","data_granularity_gt","data_format_gt","validated_at","annotator"
"0956797617697739","Causal_Action_A_Fundamental_Constraint/Experiment 1_sheet1.csv","data","ex1","combined","tabular","2026-04-07T15:16:07","Levi Baruch"
"0956797617697739","Causal_Action_A_Fundamental_Constraint/Experiment 2a_fl_10.csv","data","ex2a","combined","tabular","2026-04-07T15:16:53","Levi Baruch"
"0956797617697739","Causal_Action_A_Fundamental_Constraint/Experiment 2a_ga_11.csv","data","ex2a","combined","tabular","2026-04-07T15:16:53","Levi Baruch"
"0956797617697739","Causal_Action_A_Fundamental_Constraint/Experiment 2a_hl_12.csv","data","ex2a","combined","tabular","2026-04-07T15:16:53","Levi Baruch"
"0956797617697739","Causal_Action_A_Fundamental_Constraint/Experiment 2a_jh_6.csv","data","ex2a","combined","tabular","2026-04-07T15:16:53","Levi Baruch"
"0956797617697739","Causal_Action_A_Fundamental_Constraint/Experiment 2a_Sheet1.csv","data","ex2a","combined","tabular","2026-04-07T15:16:54","Levi Baruch"
"0956797617697739","Causal_Action_A_Fundamental_Constraint/Experiment 2a_Sheet2.csv","data","ex2a","combined","tabular","2026-04-07T15:16:54","Levi Baruch"
"0956797617697739","Causal_Action_A_Fundamental_Constraint/Experiment 2a_Sheet3.csv","data","ex2a","combined","tabular","2026-04-07T15:16:54","Levi Baruch"
"0956797617697739","Causal_Action_A_Fundamental_Constraint/Experiment 2a_Sheet4.csv","data","ex2a","combined","tabular","2026-04-07T15:16:55","Levi Baruch"
"0956797617697739","Causal_Action_A_Fundamental_Constraint/Experiment 2a_Sheet5.csv","data","ex2a","combined","tabular","2026-04-07T15:16:56","Levi Baruch"
"0956797617697739","Causal_Action_A_Fundamental_Constraint/Experiment 2a_Sheet6.csv","data","ex2a","combined","tabular","2026-04-07T15:16:56","Levi Baruch"
"0956797617697739","Causal_Action_A_Fundamental_Constraint/Experiment 2a_yp_30.csv","data","ex2a","combined","tabular","2026-04-07T15:17:00","Levi Baruch"
"0956797617697739","Causal_Action_A_Fundamental_Constraint/Experiment 2b_Sheet1.csv","data","ex2b","combined","tabular","2026-04-07T15:17:01","Levi Baruch"
