"paper_id","rel_path","type_gt","group_gt","data_granularity_gt","validated_at","annotator","data_format_gt"
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_1_Field_Experiment/bib.csv","data","ex1","combined","2026-03-30T14:45:13","Levi Baruch","tabular"
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_1_Field_Experiment/bottles_collapsed.csv","data","ex1","combined","2026-03-30T14:44:13","Levi Baruch","tabular"
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_1_Field_Experiment/historical_ssb_classification_Sheet1.csv","data","ex1","combined","2026-03-30T14:44:15","Levi Baruch","tabular"
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_1_Field_Experiment/ssb_classification_final_Sheet1.csv","data","ex1","combined","2026-03-30T14:44:21","Levi Baruch","tabular"
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_1_Field_Experiment/statistical analysis code - datasets do-file and readme/replication code/input_data/bib.dta","data","ex1","combined","2026-03-30T14:45:17","Levi Baruch","tabular"
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_1_Field_Experiment/statistical analysis code - datasets do-file and readme/replication code/input_data/bottles.dta","data","ex1","combined","2026-03-30T14:44:39","Levi Baruch","tabular"
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_1_Field_Experiment/statistical analysis code - datasets do-file and readme/replication code/input_data/historical_collapsed.dta","data","ex1","combined","2026-03-30T14:44:43","Levi Baruch","tabular"
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_1_Field_Experiment/statistical analysis code - datasets do-file and readme/replication code/input_data/temp_04_16.csv","data","ex1","combined","2026-03-30T14:46:37","Levi Baruch","tabular"
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_1_Field_Experiment/statistical analysis code - datasets do-file and readme/replication code/input_data/temp_05_16.csv","data","ex1","combined","2026-03-30T14:46:38","Levi Baruch","tabular"
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_1_Field_Experiment/statistical analysis code - datasets do-file and readme/replication code/input_data/temp_06_16.csv","data","ex1","combined","2026-03-30T14:46:38","Levi Baruch","tabular"
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_1_Field_Experiment/statistical analysis code - datasets do-file and readme/replication code/input_data/temp_07_16.csv","data","ex1","combined","2026-03-30T14:46:38","Levi Baruch","tabular"
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_1_Field_Experiment/statistical analysis code - datasets do-file and readme/replication code/input_data/temp_08_16.csv","data","ex1","combined","2026-03-30T14:46:40","Levi Baruch","tabular"
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_1_Field_Experiment/statistical analysis code - datasets do-file and readme/replication code/labels_field_analysis.do","code","ex1",NA,"2026-03-30T14:46:43","Levi Baruch",NA
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_1_Field_Experiment/statistical analysis code - datasets do-file and readme/replication code/Read Me.txt","readme","ex1",NA,"2026-03-30T14:46:49","Levi Baruch",NA
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_1_Field_Experiment/weekly_historical.csv","data","ex1","combined","2026-03-30T14:46:50","Levi Baruch","tabular"
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_2_Mechanism/Graphic Warning Label Mechanism Codebook_Codebook.csv","codebook","ex2",NA,"2026-03-30T14:46:53","Levi Baruch",NA
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_2_Mechanism/Graphic_Warning_Label_Mechanism_Graphic_Warning_Label_Mechanism.csv","data","ex2","combined","2026-03-30T14:46:56","Levi Baruch","tabular"
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_3_Consumer_Support/code_book, SSB support_Convenience.csv","codebook","ex3",NA,"2026-03-30T14:47:00","Levi Baruch",NA
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_3_Consumer_Support/code_book, SSB support_Nationally Representative.csv","codebook","ex3",NA,"2026-03-30T14:47:06","Levi Baruch",NA
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_3_Consumer_Support/Consumer Support (Convenience).csv","data","ex3","combined","2026-03-30T14:47:10","Levi Baruch","tabular"
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Data/Study_3_Consumer_Support/Consumer Support (Nationally Representative).xls","data","ex3","combined","2026-03-30T14:47:52","Levi Baruch","tabular"
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Materials/Consumer Support, Convenience Survey Instrument.pdf","supplemental","shared",NA,"2026-03-30T14:47:59","Levi Baruch",NA
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Materials/Consumer Support, Nat' Representative Survey Instrument v2.pdf","supplemental","shared",NA,"2026-03-30T14:48:02","Levi Baruch",NA
"0956797618766361","Graphic_Warning_Labels_Curb_Purchasing/Materials/Graphic Warning Mechanism.pdf","supplemental","shared",NA,"2026-03-30T14:48:11","Levi Baruch",NA
