"paper_id","rel_path","type_gt","group_gt","data_granularity_gt","data_format_gt","validated_at","annotator"
"0956797617738814","Field_rationalization_study/data/smoking FINAL_item key.csv","codebook","ex2",NA,NA,"2026-04-07T11:17:58","Levi Baruch"
"0956797617738814","Field_rationalization_study/data/smoking FINAL_smoking FINAL.csv.csv","data","ex2","combined","tabular","2026-04-07T11:18:01","Levi Baruch"
"0956797617738814","Field_rationalization_study/data/trump FINAL_item key.csv","codebook","ex3",NA,NA,"2026-04-07T11:17:39","Levi Baruch"
"0956797617738814","Field_rationalization_study/data/trump FINAL_trump FINAL.csv.csv","data","ex4","combined","tabular","2026-04-07T11:18:07","Levi Baruch"
"0956797617738814","Field_rationalization_study/data/water bottles FINAL_itemkey.csv","codebook","ex1",NA,NA,"2026-04-07T11:15:16","Levi Baruch"
"0956797617738814","Field_rationalization_study/data/water bottles FINAL_water_bottles_PRE.csv.csv","data","ex1","combined","tabular","2026-04-07T11:18:17","Levi Baruch"
"0956797617738814","Field_rationalization_study/field_study_pt_1.docx","supplemental","ex1",NA,NA,"2026-04-07T11:17:45","Levi Baruch"
"0956797617738814","Field_rationalization_study/field_study_pt_2.docx","supplemental","ex2",NA,NA,"2026-04-07T11:17:47","Levi Baruch"
"0956797617738814","Field_rationalization_study/field_study_pt_3.docx","supplemental","ex3",NA,NA,"2026-04-07T11:17:49","Levi Baruch"
"0956797617738814","Field_rationalization_study/Pre-Registration--field rationalization study.docx","supplemental","shared",NA,NA,"2026-04-07T11:18:28","Levi Baruch"
